timestamp,user,src_ip,dest_host,action,event_id
,alice,192.168.1.100,server1.internal,success,evt_001
10:30:23,bob,192.168.1.101,server2.internal,success,evt_002
asdf,alice,192.168.1.102,server1.internal,success,evt_003
12-26-2026,jim,192.168.1.103,server3.internal,success,evt_004
10:31:15,alice,192.168.1.104,server2.internal,success,evt_005
10:38:04,alice,192.168.2341.105,server2.internal,success,evt_006
10:24:05,bob,192.168.1.106,server2.internal|success,evt_007
10:12:30,jay,192.168.1.107,server2.internal,success,evt_008
10:39:48!jay!192.168.1.108!server4.internal!success!evt_009
10:33:18,192.168.1.109,jim,server1.internal,success,evt_010
